"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Damian Green ","@DamianGreen","Conservative","Ashford",20159,6
"Jake Berry ","@JakeBerry","Conservative","Rossendale and Darwen",20097,6
"Guy Opperman ","@GuyOpperman","Conservative","Hexham",20097,2
"Michelle Gildernew","@gildernewm","Sinn Féin","Fermanagh and South Tyrone",20080,3
"Huw Merriman ","@HuwMerriman","Conservative","Bexhill and Battle",20040,5
"Heather Wheeler ","@HeatherWheeler","Conservative","South Derbyshire",19957,1
"Kenny MacAskill","@KennyMacAskill","Scottish National Party","East Lothian",19804,-4
"Virendra Sharma ","@VirendraSharma","Labour","Ealing, Southall",19792,7
"Sarah Owen","@SarahOwen_","Labour","Luton North",19769,7
"Matt Warman ","@mattwarman","Conservative","Boston and Skegness",19602,2
"Paul Maskey ","@PaulMaskeyMP","Sinn Féin","Belfast West",19578,0
"Stephen Hammond","@S_Hammond","Conservative","Wimbledon",19505,-1
"Chris Law ","@ChrisLawSNP","Scottish National Party","Dundee West",19482,-3
"Jonathan Djanogly ","@JDjanogly","Conservative","Huntingdon",19200,1
"Graham Brady","@SirGrahamBrady","Conservative","Altrincham and Sale West",19099,-1
"Stuart Andrew","@StuartAndrew","Conservative","Pudsey",19075,2
"Rehman Chishti ","@Rehman_Chishti","Conservative","Gillingham and Rainham",19065,3
"Paul Maynard ","@PaulMaynardUK","Conservative","Blackpool North and Cleveleys",18996,3
"Imran Hussain ","@Imran_HussainMP","Labour","Bradford East",18988,6
"Simon Hoare ","@Simon4NDorset","Conservative","North Dorset",18968,6
"Michelle Donelan ","@michelledonelan","Conservative","Chippenham",18709,5
"Nick Gibb","@NickGibbUK","Conservative","Bognor Regis and Littlehampton",18554,4
"Chloe Smith","@NorwichChloe","Conservative","Norwich North",18512,2
"James Gray ","@JGray","Conservative","North Wiltshire",18419,5
"Sheryll Murray ","@sheryllmurray","Conservative","South East Cornwall",18411,-3
"Liz Saville Roberts ","@LSRPlaid","Plaid Cymru","Dwyfor Meirionnydd",18189,-4
"Iain Stewart ","@iainastewart","Conservative","Milton Keynes South",18148,3
"Steve McCabe ","@steve_mccabe","Labour","Birmingham, Selly Oak",18142,4
"Karen Buck ","@KarenPBuckMP","Labour","Westminster North",18072,12
"Mark Spencer ","@Mark_Spencer","Conservative","Sherwood",18028,6
"Nia Griffith ","@NiaGriffithMP","Labour","Llanelli",17853,10
"Stephen Timms ","@stephenctimms","Labour","East Ham",17809,-3
"Taiwo Owatemi","@TaiwoOwatemi","Labour","Coventry North West",17796,4
"Jason McCartney ","@JasonMcCartney","Conservative","Colne Valley",17743,-1
"Conor McGinn ","@ConorMcGinn","Labour","St Helens North",17539,7
"Robert Neill ","@neill_bob","Conservative","Bromley and Chislehurst",17343,1
"Simon Clarke","@SimonClarkeMP","Conservative","Middlesbrough South and East Cleveland",17287,4
"Andrew Bowie","@AndrewBowie_MP","Conservative","West Aberdeenshire and Kincardine",17223,2
"Marcus Fysh ","@MarcusFysh","Conservative","Yeovil",17211,0
"Graham Stuart ","@grahamstuart","Conservative","Beverley and Holderness",17196,3
"Amanda Milling ","@amandamilling","Conservative","Cannock Chase",17184,24
"Kit Malthouse ","@kitmalthouse","Conservative","North West Hampshire",17112,3
