full_code,short_code,name,name_cy,slug,gss_code,three_code,nation,region,con_type,electorate,area,density,center_lat,center_lon,"lat,lon"
uk.org.mysociety.cons.ukparl.2025.bws,UKPARL.2025.BWS,Bicester and Woodstock,,bicester-and-woodstock,E14001090,BWS,England,South East,county,70389,448.8463952,156.8220236,51.87281886,-1.250084782,"51.8728188639082,-1.25008478240091"
uk.org.mysociety.cons.ukparl.2025.hat,UKPARL.2025.HAT,Henley and Thame,,henley-and-thame,E14001280,HAT,England,South East,county,70626,548.7834687,128.6955676,51.63750925,-1.04162573,"51.6375092547322,-1.04162573002319"
uk.org.mysociety.cons.ukparl.2025.daw,UKPARL.2025.DAW,Didcot and Wantage,,didcot-and-wantage,E14001197,DAW,England,South East,county,74356,402.3433117,184.8073469,51.60377996,-1.341011669,"51.6037799600947,-1.34101166901776"
uk.org.mysociety.cons.ukparl.2025.wit,UKPARL.2025.WIT,Witney,,witney,E14001591,WIT,England,South East,county,70042,557.7406523,125.5816654,51.72860647,-1.555933825,"51.7286064687317,-1.55593382488587"
uk.org.mysociety.cons.ukparl.2025.oxw,UKPARL.2025.OXW,Oxford West and Abingdon,,oxford-west-and-abingdon,E14001420,OXW,England,South East,county,72004,107.5777001,669.3208717,51.7227577,-1.2978493,"51.7227576971498,-1.29784930014588"
uk.org.mysociety.cons.ukparl.2025.oxe,UKPARL.2025.OXE,Oxford East,,oxford-east,E14001419,OXE,England,South East,borough,72371,28.0494655,2580.120466,51.74562695,-1.220751927,"51.745626954009,-1.22075192660978"
uk.org.mysociety.cons.ukparl.2025.nby,UKPARL.2025.NBY,Newbury,,newbury,E14001376,NBY,England,South East,county,71631,396.7622553,180.5388467,51.44715608,-1.415058104,"51.4471560773561,-1.41505810409235"
uk.org.mysociety.cons.ukparl.2025.rdw,UKPARL.2025.RDW,Reading West and Mid Berkshire,,reading-west-and-mid-berkshire,E14001439,RDW,England,South East,county,69999,313.7051588,223.1362732,51.4528112,-1.158947088,"51.4528112046647,-1.15894708786004"
uk.org.mysociety.cons.ukparl.2025.rdg,UKPARL.2025.RDG,Reading Central,,reading-central,E14001438,RDG,England,South East,borough,71283,25.76780468,2766.359062,51.45960651,-0.977623732,"51.4596065053287,-0.977623731992886"
uk.org.mysociety.cons.ukparl.2025.ear,UKPARL.2025.EAR,Earley and Woodley,,earley-and-woodley,E14001210,EAR,England,South East,borough,70083,48.9536387,1431.619832,51.42953089,-0.9412833278,"51.4295308908104,-0.941283327819198"
uk.org.mysociety.cons.ukparl.2025.wkm,UKPARL.2025.WKM,Wokingham,,wokingham,E14001593,WKM,England,South East,county,70235,138.344019,507.6836751,51.42922956,-0.8687115141,"51.4292295594244,-0.868711514089776"
uk.org.mysociety.cons.ukparl.2025.brk,UKPARL.2025.BRK,Bracknell,,bracknell,E14001117,BRK,England,South East,borough,70247,46.95994949,1495.891728,51.3809509,-0.7677732342,"51.3809509007779,-0.767773234168909"
uk.org.mysociety.cons.ukparl.2025.mai,UKPARL.2025.MAI,Maidenhead,,maidenhead,E14001348,MAI,England,South East,county,73463,182.3841024,402.7927819,51.48149823,-0.743676633,"51.4814982281589,-0.74367663303972"
uk.org.mysociety.cons.ukparl.2025.slo,UKPARL.2025.SLO,Slough,,slough,E14001477,SLO,England,South East,borough,75287,24.62585049,3057.234512,51.51477256,-0.6056455619,"51.5147725583319,-0.605645561948224"
uk.org.mysociety.cons.ukparl.2025.wnd,UKPARL.2025.WND,Windsor,,windsor,E14001588,WND,England,South East,county,74338,110.9602316,669.9517381,51.44478158,-0.5987038102,"51.4447815801813,-0.598703810236509"
uk.org.mysociety.cons.ukparl.2025.spl,UKPARL.2025.SPL,Spelthorne,,spelthorne,E14001505,SPL,England,South East,borough,72897,51.16136261,1424.844771,51.42480253,-0.4679835263,"51.4248025333865,-0.467983526317723"
uk.org.mysociety.cons.ukparl.2025.run,UKPARL.2025.RUN,Runnymede and Weybridge,,runnymede-and-weybridge,E14001456,RUN,England,South East,county,73778,102.1693725,722.1146436,51.36186679,-0.4693687299,"51.3618667863987,-0.469368729906732"
